chr	-	chr1	chr1	0	1649083	hue000
band	chr1	71	71	320670	325251	hue070
band	chr1	72	72	325251	329832	hue071
band	chr1	73	73	329832	334413	hue072
band	chr1	74	74	334413	338994	hue073
band	chr1	75	75	338994	343575	hue074
band	chr1	76	76	343575	348156	hue075
band	chr1	77	77	348156	352737	hue076
band	chr1	78	78	352737	357318	hue077
band	chr1	79	79	357318	361899	hue078
band	chr1	80	80	361899	366480	hue079
band	chr1	81	81	366480	371061	hue080
band	chr1	82	82	371061	375642	hue081
band	chr1	83	83	375642	380223	hue082
band	chr1	84	84	380223	384804	hue083
band	chr1	85	85	384804	389385	hue084
band	chr1	86	86	389385	393966	hue085
band	chr1	87	87	393966	398547	hue086
band	chr1	88	88	398547	403128	hue087
band	chr1	89	89	403128	407709	hue088
band	chr1	90	90	407709	412290	hue089
band	chr1	91	91	412290	416871	hue090
band	chr1	92	92	416871	421452	hue091
band	chr1	93	93	421452	426033	hue092
band	chr1	94	94	426033	430614	hue093
band	chr1	95	95	430614	435195	hue094
band	chr1	96	96	435195	439776	hue095
band	chr1	97	97	439776	444357	hue096
band	chr1	98	98	444357	448938	hue097
band	chr1	99	99	448938	453519	hue098
band	chr1	100	100	453519	458100	hue099
band	chr1	101	101	458100	462681	hue100
band	chr1	102	102	462681	467262	hue101
band	chr1	103	103	467262	471843	hue102
band	chr1	104	104	471843	476424	hue103
band	chr1	105	105	476424	481005	hue104
band	chr1	106	106	481005	485586	hue105
band	chr1	107	107	485586	490167	hue106
band	chr1	108	108	490167	494748	hue107
band	chr1	109	109	494748	499329	hue108
band	chr1	110	110	499329	503910	hue109
band	chr1	111	111	503910	508491	hue110
band	chr1	112	112	508491	513072	hue111
band	chr1	113	113	513072	517653	hue112
band	chr1	114	114	517653	522234	hue113
band	chr1	115	115	522234	526815	hue114
band	chr1	116	116	526815	531396	hue115
band	chr1	117	117	531396	535977	hue116
band	chr1	118	118	535977	540558	hue117
band	chr1	119	119	540558	545139	hue118
band	chr1	120	120	545139	549720	hue119
band	chr1	121	121	549720	554301	hue120
band	chr1	122	122	554301	558882	hue121
band	chr1	123	123	558882	563463	hue122
band	chr1	124	124	563463	568044	hue123
band	chr1	125	125	568044	572625	hue124
band	chr1	126	126	572625	577206	hue125
band	chr1	127	127	577206	581787	hue126
band	chr1	128	128	581787	586368	hue127
band	chr1	129	129	586368	590949	hue128
band	chr1	130	130	590949	595530	hue129
band	chr1	131	131	595530	600111	hue130
band	chr1	132	132	600111	604692	hue131
band	chr1	133	133	604692	609273	hue132
band	chr1	134	134	609273	613854	hue133
band	chr1	135	135	613854	618435	hue134
band	chr1	136	136	618435	623016	hue135
band	chr1	137	137	623016	627597	hue136
band	chr1	138	138	627597	632178	hue137
band	chr1	139	139	632178	636759	hue138
band	chr1	140	140	636759	641340	hue139
band	chr1	141	141	641340	645921	hue140
band	chr1	142	142	645921	650502	hue141
band	chr1	143	143	650502	655083	hue142
band	chr1	144	144	655083	659664	hue143
band	chr1	145	145	659664	664245	hue144
band	chr1	146	146	664245	668826	hue145
band	chr1	147	147	668826	673407	hue146
band	chr1	148	148	673407	677988	hue147
band	chr1	149	149	677988	682569	hue148
band	chr1	150	150	682569	687150	hue149
band	chr1	151	151	687150	691731	hue150
band	chr1	152	152	691731	696312	hue151
band	chr1	153	153	696312	700893	hue152
band	chr1	154	154	700893	705474	hue153
band	chr1	155	155	705474	710055	hue154
band	chr1	156	156	710055	714636	hue155
band	chr1	157	157	714636	719217	hue156
band	chr1	158	158	719217	723798	hue157
band	chr1	159	159	723798	728379	hue158
band	chr1	160	160	728379	732960	hue159
band	chr1	161	161	732960	737541	hue160
band	chr1	162	162	737541	742122	hue161
band	chr1	163	163	742122	746703	hue162
band	chr1	164	164	746703	751284	hue163
band	chr1	165	165	751284	755865	hue164
band	chr1	166	166	755865	760446	hue165
band	chr1	167	167	760446	765027	hue166
band	chr1	168	168	765027	769608	hue167
band	chr1	169	169	769608	774189	hue168
band	chr1	170	170	774189	778770	hue169
band	chr1	171	171	778770	783351	hue170
band	chr1	172	172	783351	787932	hue171
band	chr1	173	173	787932	792513	hue172
band	chr1	174	174	792513	797094	hue173
band	chr1	175	175	797094	801675	hue174
band	chr1	176	176	801675	806256	hue175
band	chr1	177	177	806256	810837	hue176
band	chr1	178	178	810837	815418	hue177
band	chr1	179	179	815418	819999	hue178
band	chr1	180	180	819999	824580	hue179
band	chr1	181	181	824580	829161	hue180
band	chr1	182	182	829161	833742	hue181
band	chr1	183	183	833742	838323	hue182
band	chr1	184	184	838323	842904	hue183
band	chr1	185	185	842904	847485	hue184
band	chr1	186	186	847485	852066	hue185
band	chr1	187	187	852066	856647	hue186
band	chr1	188	188	856647	861228	hue187
band	chr1	189	189	861228	865809	hue188
band	chr1	190	190	865809	870390	hue189
band	chr1	191	191	870390	874971	hue190
band	chr1	192	192	874971	879552	hue191
band	chr1	193	193	879552	884133	hue192
band	chr1	194	194	884133	888714	hue193
band	chr1	195	195	888714	893295	hue194
band	chr1	196	196	893295	897876	hue195
band	chr1	197	197	897876	902457	hue196
band	chr1	198	198	902457	907038	hue197
band	chr1	199	199	907038	911619	hue198
band	chr1	200	200	911619	916200	hue199
band	chr1	201	201	916200	920781	hue200
band	chr1	202	202	920781	925362	hue201
band	chr1	203	203	925362	929943	hue202
band	chr1	204	204	929943	934524	hue203
band	chr1	205	205	934524	939105	hue204
band	chr1	206	206	939105	943686	hue205
band	chr1	207	207	943686	948267	hue206
band	chr1	208	208	948267	952848	hue207
band	chr1	209	209	952848	957429	hue208
band	chr1	210	210	957429	962010	hue209
band	chr1	211	211	962010	966591	hue210
band	chr1	212	212	966591	971172	hue211
band	chr1	213	213	971172	975753	hue212
band	chr1	214	214	975753	980334	hue213
band	chr1	215	215	980334	984915	hue214
band	chr1	216	216	984915	989496	hue215
band	chr1	217	217	989496	994077	hue216
band	chr1	218	218	994077	998658	hue217
band	chr1	219	219	998658	1003239	hue218
band	chr1	220	220	1003239	1007820	hue219
band	chr1	221	221	1007820	1012401	hue220
band	chr1	222	222	1012401	1016982	hue221
band	chr1	223	223	1016982	1021563	hue222
band	chr1	224	224	1021563	1026144	hue223
band	chr1	225	225	1026144	1030725	hue224
band	chr1	226	226	1030725	1035306	hue225
band	chr1	227	227	1035306	1039887	hue226
band	chr1	228	228	1039887	1044468	hue227
band	chr1	229	229	1044468	1049049	hue228
band	chr1	230	230	1049049	1053630	hue229
band	chr1	231	231	1053630	1058211	hue230
band	chr1	232	232	1058211	1062792	hue231
band	chr1	233	233	1062792	1067373	hue232
band	chr1	234	234	1067373	1071954	hue233
band	chr1	235	235	1071954	1076535	hue234
band	chr1	236	236	1076535	1081116	hue235
band	chr1	237	237	1081116	1085697	hue236
band	chr1	238	238	1085697	1090278	hue237
band	chr1	239	239	1090278	1094859	hue238
band	chr1	240	240	1094859	1099440	hue239
band	chr1	241	241	1099440	1104021	hue240
band	chr1	242	242	1104021	1108602	hue241
band	chr1	243	243	1108602	1113183	hue242
band	chr1	244	244	1113183	1117764	hue243
band	chr1	245	245	1117764	1122345	hue244
band	chr1	246	246	1122345	1126926	hue245
band	chr1	247	247	1126926	1131507	hue246
band	chr1	248	248	1131507	1136088	hue247
band	chr1	249	249	1136088	1140669	hue248
band	chr1	250	250	1140669	1145250	hue249
band	chr1	251	251	1145250	1149831	hue250
band	chr1	252	252	1149831	1154412	hue251
band	chr1	253	253	1154412	1158993	hue252
band	chr1	254	254	1158993	1163574	hue253
band	chr1	255	255	1163574	1168155	hue254
band	chr1	256	256	1168155	1172736	hue255
band	chr1	257	257	1172736	1177317	hue256
band	chr1	258	258	1177317	1181898	hue257
band	chr1	259	259	1181898	1186479	hue258
band	chr1	260	260	1186479	1191060	hue259
band	chr1	261	261	1191060	1195641	hue260
band	chr1	262	262	1195641	1200222	hue261
band	chr1	263	263	1200222	1204803	hue262
band	chr1	264	264	1204803	1209384	hue263
band	chr1	265	265	1209384	1213965	hue264
band	chr1	266	266	1213965	1218546	hue265
band	chr1	267	267	1218546	1223127	hue266
band	chr1	268	268	1223127	1227708	hue267
band	chr1	269	269	1227708	1232289	hue268
band	chr1	270	270	1232289	1236870	hue269
band	chr1	271	271	1236870	1241451	hue270
band	chr1	272	272	1241451	1246032	hue271
band	chr1	273	273	1246032	1250613	hue272
band	chr1	274	274	1250613	1255194	hue273
band	chr1	275	275	1255194	1259775	hue274
band	chr1	276	276	1259775	1264356	hue275
band	chr1	277	277	1264356	1268937	hue276
band	chr1	278	278	1268937	1273518	hue277
band	chr1	279	279	1273518	1278099	hue278
band	chr1	280	280	1278099	1282680	hue279
band	chr1	281	281	1282680	1287261	hue280
band	chr1	282	282	1287261	1291842	hue281
band	chr1	283	283	1291842	1296423	hue282
band	chr1	284	284	1296423	1301004	hue283
band	chr1	285	285	1301004	1305585	hue284
band	chr1	286	286	1305585	1310166	hue285
band	chr1	287	287	1310166	1314747	hue286
band	chr1	288	288	1314747	1319328	hue287
band	chr1	289	289	1319328	1323909	hue288
band	chr1	290	290	1323909	1328490	hue289
band	chr1	291	291	1328490	1333071	hue290
band	chr1	292	292	1333071	1337652	hue291
band	chr1	293	293	1337652	1342233	hue292
band	chr1	294	294	1342233	1346814	hue293
band	chr1	295	295	1346814	1351395	hue294
band	chr1	296	296	1351395	1355976	hue295
band	chr1	297	297	1355976	1360557	hue296
band	chr1	298	298	1360557	1365138	hue297
band	chr1	299	299	1365138	1369719	hue298
band	chr1	300	300	1369719	1374300	hue299
band	chr1	301	301	1374300	1378881	hue300
band	chr1	302	302	1378881	1383462	hue301
band	chr1	303	303	1383462	1388043	hue302
band	chr1	304	304	1388043	1392624	hue303
band	chr1	305	305	1392624	1397205	hue304
band	chr1	306	306	1397205	1401786	hue305
band	chr1	307	307	1401786	1406367	hue306
band	chr1	308	308	1406367	1410948	hue307
band	chr1	309	309	1410948	1415529	hue308
band	chr1	310	310	1415529	1420110	hue309
band	chr1	311	311	1420110	1424691	hue310
band	chr1	312	312	1424691	1429272	hue311
band	chr1	313	313	1429272	1433853	hue312
band	chr1	314	314	1433853	1438434	hue313
band	chr1	315	315	1438434	1443015	hue314
band	chr1	316	316	1443015	1447596	hue315
band	chr1	317	317	1447596	1452177	hue316
band	chr1	318	318	1452177	1456758	hue317
band	chr1	319	319	1456758	1461339	hue318
band	chr1	320	320	1461339	1465920	hue319
band	chr1	321	321	1465920	1470501	hue320
band	chr1	322	322	1470501	1475082	hue321
band	chr1	323	323	1475082	1479663	hue322
band	chr1	324	324	1479663	1484244	hue323
band	chr1	325	325	1484244	1488825	hue324
band	chr1	326	326	1488825	1493406	hue325
band	chr1	327	327	1493406	1497987	hue326
band	chr1	328	328	1497987	1502568	hue327
band	chr1	329	329	1502568	1507149	hue328
band	chr1	330	330	1507149	1511730	hue329
band	chr1	331	331	1511730	1516311	hue330
band	chr1	332	332	1516311	1520892	hue331
band	chr1	333	333	1520892	1525473	hue332
band	chr1	334	334	1525473	1530054	hue333
band	chr1	335	335	1530054	1534635	hue334
band	chr1	336	336	1534635	1539216	hue335
band	chr1	337	337	1539216	1543797	hue336
band	chr1	338	338	1543797	1548378	hue337
band	chr1	339	339	1548378	1552959	hue338
band	chr1	340	340	1552959	1557540	hue339
band	chr1	341	341	1557540	1562121	hue340
band	chr1	342	342	1562121	1566702	hue341
band	chr1	343	343	1566702	1571283	hue342
band	chr1	344	344	1571283	1575864	hue343
band	chr1	345	345	1575864	1580445	hue344
band	chr1	346	346	1580445	1585026	hue345
band	chr1	347	347	1585026	1589607	hue346
band	chr1	348	348	1589607	1594188	hue347
band	chr1	349	349	1594188	1598769	hue348
band	chr1	350	350	1598769	1603350	hue349
band	chr1	351	351	1603350	1607931	hue350
band	chr1	352	352	1607931	1612512	hue351
band	chr1	353	353	1612512	1617093	hue352
band	chr1	354	354	1617093	1621674	hue353
band	chr1	355	355	1621674	1626255	hue354
band	chr1	356	356	1626255	1630836	hue355
band	chr1	357	357	1630836	1635417	hue356
band	chr1	358	358	1635417	1639998	hue357
band	chr1	359	359	1639998	1644579	hue358
band	chr1	360	360	1644579	1649083	hue359
