NC_011498.1	NC_000915.1	NC_012973.1	NC_011333.1	NC_014256.1	Consensus	Std	Count
HPP12_RS00900	HP0176	HELPY_RS00890	HPG27_RS00885	HPB8_RS06585	39.0	47.29	5.0
HPP12_RS00905	HP0177	HELPY_RS00895	HPG27_RS00890	HPB8_RS06580	40.0	47.63	5.0
HPP12_RS00915	-	-	-	-	39.0	0.0	1.0
HPP12_RS00920	-	-	-	-	39.0	0.0	1.0
HPP12_RS00925	HP0178	HELPY_RS00900	HPG27_RS00895	HPB8_RS06575	40.0	47.63	5.0
HPP12_RS00930	HP0179	HELPY_RS00905	HPG27_RS00900	HPB8_RS06570	40.0	47.74	5.0
HPP12_RS00935	HP0180	HELPY_RS00910	HPG27_RS00905	HPB8_RS06565	40.0	48.19	5.0
HPP12_RS00940	HP0181	HELPY_RS00915	HPG27_RS00910	HPB8_RS06560	40.0	48.53	5.0
HPP12_RS00945	HP0182	HELPY_RS00920	HPG27_RS00915	HPB8_RS06555	40.0	48.53	5.0
HPP12_RS00950	HP0183	HELPY_RS00925	HPG27_RS00920	HPB8_RS06550	41.0	48.64	5.0
HPP12_RS00955	HP0184	HELPY_RS00930	HPG27_RS00925	HPB8_RS06545	41.0	49.19	5.0
HPP12_RS00960	HP0185	HELPY_RS00935	HPG27_RS00930	HPB8_RS06540	41.0	49.31	5.0
HPP12_RS00970	HP0186	HELPY_RS00940	HPG27_RS00940	HPB8_RS06535	42.0	49.42	5.0
HPP12_RS00980	HP0189	HELPY_RS00950	HPG27_RS00955	HPB8_RS06525	42.0	49.53	5.0
HPP12_RS00985	HP0190	HELPY_RS00955	HPG27_RS00960	HPB8_RS06520	42.0	49.98	5.0
HPP12_RS00990	HP0191	HELPY_RS00960	HPG27_RS00965	HPB8_RS06515	42.0	50.31	5.0
HPP12_RS00995	HP0192	HELPY_RS00965	HPG27_RS00970	HPB8_RS06510	42.0	50.31	5.0
HPP12_RS01000	HP0193	HELPY_RS00970	HPG27_RS00975	HPB8_RS06505	43.0	50.87	5.0
HPP12_RS01005	HP0194	HELPY_RS00975	HPG27_RS00980	HPB8_RS06500	43.0	51.1	5.0
HPP12_RS01010	HP0195	HELPY_RS00980	HPG27_RS00985	HPB8_RS06495	44.0	51.21	5.0
HPP12_RS01015	HP0196	HELPY_RS00985	HPG27_RS00990	HPB8_RS06490	44.0	51.21	5.0
HPP12_RS01020	HP0197	HELPY_RS00990	HPG27_RS00995	HPB8_RS06485	44.0	51.21	5.0
HPP12_RS01025	HP0198	HELPY_RS00995	HPG27_RS01000	HPB8_RS06480	44.0	51.43	5.0
HPP12_RS01030	HP0199	HELPY_RS01000	HPG27_RS01005	HPB8_RS06475	44.0	51.99	5.0
HPP12_RS01035	HP0200	HELPY_RS01005	HPG27_RS01010	HPB8_RS06470	44.0	51.99	5.0
HPP12_RS01040	HP0201	HELPY_RS01010	HPG27_RS01015	HPB8_RS06465	44.0	51.99	5.0
HPP12_RS01045	HP0202	HELPY_RS01015	HPG27_RS01020	HPB8_RS06460	44.0	52.1	5.0
HPP12_RS01050	-	HELPY_RS01020	-	HPB8_RS06455	44.0	67.26	3.0
HPP12_RS01055	HP0204	HELPY_RS01025	HPG27_RS01030	HPB8_RS06450	45.0	52.21	5.0
HPP12_RS01065	HP0207	HELPY_RS01035	HPG27_RS01040	HPB8_RS06440	46.0	53.0	5.0
HPP12_RS01070	HP0208	HELPY_RS01040	HPG27_RS01045	HPB8_RS06435	46.0	53.11	5.0
HPP12_RS01075	-	-	HPG27_RS01050	HPB8_RS06430	46.0	68.42	3.0
HPP12_RS01085	HP0209	HELPY_RS01045	HPG27_RS01055	HPB8_RS06425	46.0	53.78	5.0
HPP12_RS01090	HP0210	HELPY_RS01050	HPG27_RS01060	HPB8_RS06420	46.0	53.89	5.0
HPP12_RS01095	HP0211	HELPY_RS01055	HPG27_RS01065	HPB8_RS06415	47.0	54.12	5.0
HPP12_RS01100	HP0212	HELPY_RS01065	HPG27_RS01070	HPB8_RS06410	47.0	54.56	5.0
HPP12_RS01105	HP0213	HELPY_RS01070	HPG27_RS01075	HPB8_RS06405	48.0	54.79	5.0
HPP12_RS01110	HP0214	HELPY_RS01075	HPG27_RS01080	HPB8_RS06400	48.0	55.01	5.0
HPP12_RS01115	HP0215	HELPY_RS01080	HPG27_RS01085	HPB8_RS06395	48.0	55.57	5.0
HPP12_RS01120	HP0216	HELPY_RS01085	HPG27_RS01090	HPB8_RS06390	48.0	55.57	5.0
HPP12_RS01125	-	HELPY_RS01090	-	-	48.0	0.71	2.0
HPP12_RS01130	HP0217	HELPY_RS01095	-	-	49.0	0.58	3.0
HPP12_RS01135	HP0218	HELPY_RS01100	HPG27_RS01095	HPB8_RS06385	49.0	55.8	5.0
HPP12_RS01140	HP0219	HELPY_RS01105	HPG27_RS01100	HPB8_RS06380	49.0	55.91	5.0
HPP12_RS01145	-	-	-	-	48.0	0.0	1.0
HPP12_RS01150	HP0220	HELPY_RS01110	HPG27_RS01105	HPB8_RS06375	49.0	55.91	5.0
HPP12_RS01155	HP0221	HELPY_RS01115	HPG27_RS01110	HPB8_RS06370	50.0	56.57	5.0
HPP12_RS01165	HP0223	HELPY_RS01125	HPG27_RS01120	HPB8_RS06360	50.0	56.69	5.0
HPP12_RS01170	HP0224	HELPY_RS01130	HPG27_RS01125	HPB8_RS06355	50.0	56.8	5.0
HPP12_RS01175	HP0226	HELPY_RS01135	HPG27_RS01130	HPB8_RS06350	50.0	57.36	5.0
HPP12_RS01185	HP0228	HELPY_RS01145	HPG27_RS01140	HPB8_RS06340	51.0	57.69	5.0
HPP12_RS01195	HP0229	HELPY_RS01155	HPG27_RS01150	HPB8_RS06330	52.0	58.36	5.0
HPP12_RS01200	HP0230	HELPY_RS01160	HPG27_RS01155	HPB8_RS06325	52.0	58.48	5.0
HPP12_RS01205	HP0231	HELPY_RS01165	HPG27_RS01160	HPB8_RS06320	52.0	58.48	5.0
HPP12_RS01210	HP0232	HELPY_RS01170	HPG27_RS01165	HPB8_RS06315	52.0	58.59	5.0
HPP12_RS01215	HP0233	HELPY_RS01175	HPG27_RS01170	HPB8_RS06310	52.0	58.7	5.0
HPP12_RS01220	HP0234	HELPY_RS01180	HPG27_RS01175	HPB8_RS06305	53.0	59.37	5.0
HPP12_RS01225	HP0235	HELPY_RS01185	HPG27_RS01180	HPB8_RS06300	53.0	59.37	5.0
HPP12_RS01230	HP0236	HELPY_RS01190	HPG27_RS01185	HPB8_RS06295	53.0	59.48	5.0
HPP12_RS01235	HP0237	HELPY_RS01195	HPG27_RS01190	HPB8_RS06290	53.0	59.48	5.0
HPP12_RS01240	HP0238	HELPY_RS01200	HPG27_RS01195	HPB8_RS06285	53.0	60.04	5.0
HPP12_RS01245	HP0239	HELPY_RS01205	HPG27_RS01200	HPB8_RS06280	54.0	60.27	5.0
HPP12_RS01250	HP0240	HELPY_RS01210	HPG27_RS01205	HPB8_RS06275	54.0	60.38	5.0
HPP12_RS01255	HP0241	HELPY_RS01215	HPG27_RS01210	HPB8_RS06270	54.0	60.38	5.0
HPP12_RS01260	HP0242	HELPY_RS01220	HPG27_RS01215	HPB8_RS06265	54.0	60.49	5.0
HPP12_RS01265	HP0243	HELPY_RS01225	HPG27_RS01220	HPB8_RS06260	54.0	60.49	5.0
HPP12_RS01270	HP0244	HELPY_RS01230	HPG27_RS01225	HPB8_RS06255	55.0	61.16	5.0
HPP12_RS01275	HP0245	HELPY_RS01235	HPG27_RS01230	HPB8_RS06250	55.0	61.16	5.0
HPP12_RS01280	HP0246	HELPY_RS01240	HPG27_RS01235	HPB8_RS06245	55.0	61.16	5.0
HPP12_RS01285	HP0247	HELPY_RS01245	HPG27_RS01240	HPB8_RS06240	55.0	61.27	5.0
HPP12_RS01290	HP0248	HELPY_RS01250	HPG27_RS01245	HPB8_RS06235	56.0	61.95	5.0
HPP12_RS01295	HP0249	HELPY_RS01255	HPG27_RS01250	HPB8_RS06230	56.0	62.06	5.0
HPP12_RS01300	HP0250	HELPY_RS01260	HPG27_RS01255	HPB8_RS06225	56.0	62.06	5.0
HPP12_RS01315	HP0252	HELPY_RS01275	HPG27_RS01270	HPB8_RS06210	56.0	62.84	5.0
HPP12_RS01320	-	HELPY_RS01280	HPG27_RS01275	HPB8_RS06205	57.0	70.34	4.0
HPP12_RS01325	HP0255	HELPY_RS01285	HPG27_RS01280	HPB8_RS06200	57.0	63.06	5.0
HPP12_RS01330	HP0256	HELPY_RS01290	HPG27_RS01285	HPB8_RS06195	58.0	63.29	5.0
HPP12_RS01335	HP0257	HELPY_RS01295	HPG27_RS01290	HPB8_RS06190	58.0	63.29	5.0
HPP12_RS01340	HP0258	HELPY_RS01300	HPG27_RS01295	HPB8_RS06185	58.0	63.85	5.0
HPP12_RS01345	HP0259	HELPY_RS01305	HPG27_RS01300	HPB8_RS06180	58.0	63.85	5.0
HPP12_RS01350	HP0260	HELPY_RS01310	HPG27_RS01305	HPB8_RS06175	58.0	63.96	5.0
HPP12_RS01355	HP0261	HELPY_RS01315	HPG27_RS01310	HPB8_RS06170	58.0	64.18	5.0
HPP12_RS01360	HP0262	HELPY_RS01325	HPG27_RS01315	HPB8_RS06160	59.0	64.74	5.0
HPP12_RS01365	HP0263	HELPY_RS01330	HPG27_RS01320	HPB8_RS06155	59.0	64.74	5.0
HPP12_RS01370	HP0264	HELPY_RS01335	HPG27_RS01325	HPB8_RS06150	59.0	64.74	5.0
HPP12_RS01375	HP0265	HELPY_RS01340	HPG27_RS01330	HPB8_RS06145	60.0	65.08	5.0
HPP12_RS01380	HP0266	HELPY_RS01345	HPG27_RS01335	HPB8_RS06140	60.0	65.63	5.0
