	NC_011498.1	NC_000915.1	NC_012973.1	NC_011333.1	NC_014256.1	Mean	Std	Median	MedianMean	Consensus	Count
151	36	-	37	37	295	11.0	50.84	36.0	37.0	37.0	4.0
152	36	38	37	37	295	17.0	45.62	37.0	37.0	37.0	5.0
153	37	38	38	37	295	17.0	45.84	37.0	38.0	38.0	5.0
154	37	38	38	37	295	17.0	45.84	37.0	38.0	38.0	5.0
155	37	38	38	37	295	17.0	45.84	37.0	38.0	38.0	5.0
156	37	38	38	38	295	17.0	45.95	38.0	38.0	38.0	5.0
157	37	38	38	38	294	17.0	46.4	38.0	38.0	38.0	5.0
158	37	39	39	38	294	17.0	46.63	38.0	38.0	38.0	5.0
159	38	39	39	38	294	18.0	46.74	38.0	38.0	38.0	5.0
160	38	39	39	38	294	18.0	46.74	38.0	38.0	38.0	5.0
161	38	39	39	-	294	12.0	52.34	38.0	39.0	39.0	4.0
162	38	39	39	39	293	18.0	47.29	39.0	39.0	39.0	5.0
163	38	39	39	39	293	18.0	47.29	39.0	39.0	39.0	5.0
164	39	40	40	39	293	18.0	47.63	39.0	40.0	40.0	5.0
165	39	-	-	-	-	39.0	0.0	39.0	39.0	39.0	1.0
166	39	-	-	-	-	39.0	0.0	39.0	39.0	39.0	1.0
167	39	40	40	39	293	18.0	47.63	39.0	40.0	40.0	5.0
168	39	40	40	40	293	18.0	47.74	40.0	40.0	40.0	5.0
169	39	40	40	40	292	18.0	48.19	40.0	40.0	40.0	5.0
170	40	41	41	40	292	19.0	48.53	40.0	40.0	40.0	5.0
171	40	41	41	40	292	19.0	48.53	40.0	40.0	40.0	5.0
172	40	41	41	41	292	19.0	48.64	41.0	41.0	41.0	5.0
173	41	41	41	41	291	19.0	49.19	41.0	41.0	41.0	5.0
174	41	41	42	41	291	19.0	49.31	41.0	41.0	41.0	5.0
175	41	42	42	41	291	19.0	49.42	41.0	42.0	42.0	5.0
176	41	42	42	42	291	20.0	49.53	42.0	42.0	42.0	5.0
177	41	42	42	42	290	19.0	49.98	42.0	42.0	42.0	5.0
178	42	43	43	42	290	20.0	50.31	42.0	42.0	42.0	5.0
179	42	43	43	42	290	20.0	50.31	42.0	42.0	42.0	5.0
180	42	43	43	43	289	20.0	50.87	43.0	43.0	43.0	5.0
181	43	43	44	43	289	20.0	51.1	43.0	43.0	43.0	5.0
182	43	44	44	43	289	21.0	51.21	43.0	44.0	44.0	5.0
183	43	44	44	43	289	21.0	51.21	43.0	44.0	44.0	5.0
184	43	44	44	43	289	21.0	51.21	43.0	44.0	44.0	5.0
185	43	44	45	44	289	21.0	51.43	44.0	44.0	44.0	5.0
186	44	44	45	44	288	21.0	51.99	44.0	44.0	44.0	5.0
187	44	44	45	44	288	21.0	51.99	44.0	44.0	44.0	5.0
188	44	44	45	44	288	21.0	51.99	44.0	44.0	44.0	5.0
189	44	45	45	44	288	21.0	52.1	44.0	44.0	44.0	5.0
190	44	-	45	-	288	6.0	67.26	44.0	44.0	44.0	3.0
191	44	45	45	45	288	21.0	52.21	45.0	45.0	45.0	5.0
192	45	46	46	45	287	22.0	53.0	45.0	46.0	46.0	5.0
193	45	46	46	46	287	22.0	53.11	46.0	46.0	46.0	5.0
194	45	-	-	46	287	6.0	68.42	45.0	46.0	46.0	3.0
195	46	46	47	46	286	22.0	53.78	46.0	46.0	46.0	5.0
196	46	47	47	46	286	22.0	53.89	46.0	46.0	46.0	5.0
197	46	47	48	47	286	23.0	54.12	47.0	47.0	47.0	5.0
198	46	47	48	47	285	23.0	54.56	47.0	47.0	47.0	5.0
199	47	48	48	47	285	23.0	54.79	47.0	48.0	48.0	5.0
200	47	48	49	48	285	23.0	55.01	48.0	48.0	48.0	5.0
201	48	48	49	48	284	23.0	55.57	48.0	48.0	48.0	5.0
202	48	48	49	48	284	23.0	55.57	48.0	48.0	48.0	5.0
203	48	-	49	-	-	48.0	0.71	48.0	48.0	48.0	2.0
204	48	49	49	-	-	49.0	0.58	49.0	49.0	49.0	3.0
205	48	49	50	48	284	24.0	55.8	48.0	49.0	49.0	5.0
206	48	49	50	49	284	24.0	55.91	49.0	49.0	49.0	5.0
207	48	-	-	-	-	48.0	0.0	48.0	48.0	48.0	1.0
208	48	49	50	49	284	24.0	55.91	49.0	49.0	49.0	5.0
209	49	50	50	49	283	24.0	56.57	49.0	50.0	50.0	5.0
210	49	50	51	49	283	24.0	56.69	49.0	50.0	50.0	5.0
211	49	50	51	50	283	25.0	56.8	50.0	50.0	50.0	5.0
212	50	50	51	50	282	25.0	57.36	50.0	50.0	50.0	5.0
213	50	51	52	51	282	25.0	57.69	51.0	51.0	51.0	5.0
214	51	52	52	51	281	25.0	58.36	51.0	52.0	52.0	5.0
215	51	52	53	51	281	26.0	58.48	51.0	52.0	52.0	5.0
216	51	52	53	51	281	26.0	58.48	51.0	52.0	52.0	5.0
217	51	52	53	52	281	26.0	58.59	52.0	52.0	52.0	5.0
218	52	52	53	52	281	26.0	58.7	52.0	52.0	52.0	5.0
219	52	53	54	52	280	26.0	59.37	52.0	53.0	53.0	5.0
220	52	53	54	52	280	26.0	59.37	52.0	53.0	53.0	5.0
221	52	53	54	53	280	26.0	59.48	53.0	53.0	53.0	5.0
222	52	53	54	53	280	26.0	59.48	53.0	53.0	53.0	5.0
223	53	53	54	53	279	26.0	60.04	53.0	53.0	53.0	5.0
224	53	54	55	53	279	27.0	60.27	53.0	54.0	54.0	5.0
225	53	54	55	54	279	27.0	60.38	54.0	54.0	54.0	5.0
226	53	54	55	54	279	27.0	60.38	54.0	54.0	54.0	5.0
227	54	54	55	54	279	27.0	60.49	54.0	54.0	54.0	5.0
228	54	54	55	54	279	27.0	60.49	54.0	54.0	54.0	5.0
229	54	55	56	54	278	27.0	61.16	54.0	55.0	55.0	5.0
230	54	55	56	54	278	27.0	61.16	54.0	55.0	55.0	5.0
231	54	55	56	54	278	27.0	61.16	54.0	55.0	55.0	5.0
232	54	55	56	55	278	28.0	61.27	55.0	55.0	55.0	5.0
233	55	55	57	55	277	28.0	61.95	55.0	56.0	56.0	5.0
234	55	56	57	55	277	28.0	62.06	55.0	56.0	56.0	5.0
235	55	56	57	55	277	28.0	62.06	55.0	56.0	56.0	5.0
236	56	56	58	56	276	28.0	62.84	56.0	56.0	56.0	5.0
237	56	-	58	56	276	22.0	70.34	56.0	57.0	57.0	4.0
238	56	57	58	57	276	29.0	63.06	57.0	57.0	57.0	5.0
239	57	57	59	57	276	29.0	63.29	57.0	58.0	58.0	5.0
240	57	57	59	57	276	29.0	63.29	57.0	58.0	58.0	5.0
241	57	58	59	57	275	29.0	63.85	57.0	58.0	58.0	5.0
242	57	58	59	57	275	29.0	63.85	57.0	58.0	58.0	5.0
243	57	58	59	58	275	29.0	63.96	58.0	58.0	58.0	5.0
244	58	58	60	58	275	30.0	64.18	58.0	58.0	58.0	5.0
245	58	59	60	58	274	30.0	64.74	58.0	59.0	59.0	5.0
246	58	59	60	58	274	30.0	64.74	58.0	59.0	59.0	5.0
247	58	59	60	58	274	30.0	64.74	58.0	59.0	59.0	5.0
248	59	59	61	59	274	30.0	65.08	59.0	60.0	60.0	5.0
249	59	60	61	59	273	30.0	65.63	59.0	60.0	60.0	5.0
250	59	60	61	59	273	30.0	65.63	59.0	60.0	60.0	5.0
251	59	60	61	60	273	31.0	65.74	60.0	60.0	60.0	5.0
252	59	60	61	60	273	31.0	65.74	60.0	60.0	60.0	5.0
253	60	60	62	60	273	31.0	65.97	60.0	60.0	60.0	5.0
254	60	61	62	60	272	31.0	66.53	60.0	61.0	61.0	5.0
255	60	61	62	-	272	24.0	74.5	60.0	61.0	61.0	4.0
256	60	61	62	61	272	31.0	66.64	61.0	61.0	61.0	5.0
257	60	61	62	61	272	31.0	66.64	61.0	61.0	61.0	5.0
258	60	61	63	61	272	31.0	66.76	61.0	61.0	61.0	5.0
259	61	62	63	61	272	32.0	66.98	61.0	62.0	62.0	5.0
260	61	62	63	61	271	32.0	67.42	61.0	62.0	62.0	5.0
261	61	62	63	61	271	32.0	67.42	61.0	62.0	62.0	5.0
262	61	62	63	62	271	32.0	67.53	62.0	62.0	62.0	5.0
263	61	62	64	62	271	32.0	67.65	62.0	62.0	62.0	5.0
264	62	63	64	62	270	32.0	68.32	62.0	63.0	63.0	5.0
265	62	63	64	63	270	32.0	68.43	63.0	63.0	63.0	5.0
266	62	63	65	63	270	33.0	68.54	63.0	63.0	63.0	5.0
267	63	63	65	63	269	33.0	69.1	63.0	64.0	64.0	5.0
268	63	64	65	63	269	33.0	69.21	63.0	64.0	64.0	5.0
269	63	64	66	64	269	33.0	69.44	64.0	64.0	64.0	5.0
270	63	64	66	64	269	33.0	69.44	64.0	64.0	64.0	5.0
271	63	64	66	64	267	33.0	70.33	64.0	64.0	64.0	5.0
272	65	66	68	66	267	34.0	71.23	66.0	66.0	66.0	5.0
273	66	66	68	66	267	35.0	71.34	66.0	66.0	66.0	5.0
274	66	67	68	66	266	35.0	71.89	66.0	67.0	67.0	5.0
275	66	67	68	66	266	35.0	71.89	66.0	67.0	67.0	5.0
276	66	67	69	67	266	35.0	72.12	67.0	67.0	67.0	5.0
277	67	67	69	67	265	35.0	72.68	67.0	68.0	68.0	5.0
278	67	68	70	68	265	36.0	73.02	68.0	68.0	68.0	5.0
279	67	68	70	68	265	36.0	73.02	68.0	68.0	68.0	5.0
280	67	68	70	68	265	36.0	73.02	68.0	68.0	68.0	5.0
281	68	68	70	68	264	36.0	73.57	68.0	68.0	68.0	5.0
282	68	69	70	68	264	36.0	73.68	68.0	69.0	69.0	5.0
283	68	69	71	69	264	36.0	73.91	69.0	69.0	69.0	5.0
284	68	69	71	69	264	36.0	73.91	69.0	69.0	69.0	5.0
285	68	69	71	69	264	36.0	73.91	69.0	69.0	69.0	5.0
286	69	69	71	69	263	36.0	74.47	69.0	70.0	70.0	5.0
287	69	70	72	69	263	37.0	74.69	69.0	70.0	70.0	5.0
288	69	70	72	70	263	37.0	74.8	70.0	70.0	70.0	5.0
289	69	70	72	70	263	37.0	74.8	70.0	70.0	70.0	5.0
290	69	70	72	70	263	37.0	74.8	70.0	70.0	70.0	5.0
291	69	70	72	70	263	37.0	74.8	70.0	70.0	70.0	5.0
292	70	71	72	70	262	37.0	75.47	70.0	71.0	71.0	5.0
293	70	71	73	71	262	37.0	75.7	71.0	71.0	71.0	5.0
294	70	71	73	71	262	37.0	75.7	71.0	71.0	71.0	5.0
295	70	71	73	71	262	37.0	75.7	71.0	71.0	71.0	5.0
296	71	72	73	72	262	38.0	76.03	72.0	72.0	72.0	5.0
297	71	72	73	72	261	38.0	76.48	72.0	72.0	72.0	5.0
298	72	73	74	-	261	30.0	86.0	72.0	73.0	73.0	4.0
299	72	73	74	73	261	39.0	76.92	73.0	73.0	73.0	5.0
300	72	73	74	73	261	39.0	76.92	73.0	73.0	73.0	5.0
301	72	73	74	73	261	39.0	76.92	73.0	73.0	73.0	5.0
302	72	73	75	73	260	39.0	77.49	73.0	73.0	73.0	5.0
303	72	74	75	74	260	39.0	77.71	74.0	74.0	74.0	5.0
304	73	-	75	74	260	30.0	87.0	73.0	74.0	74.0	4.0
305	73	74	75	74	260	39.0	77.82	74.0	74.0	74.0	5.0
306	73	74	75	74	260	39.0	77.82	74.0	74.0	74.0	5.0
307	73	74	75	74	260	39.0	77.82	74.0	74.0	74.0	5.0
308	73	74	76	74	260	39.0	77.93	74.0	74.0	74.0	5.0
309	73	75	76	75	259	40.0	78.61	75.0	75.0	75.0	5.0
310	74	75	76	75	259	40.0	78.71	75.0	75.0	75.0	5.0
311	74	75	76	75	259	40.0	78.71	75.0	75.0	75.0	5.0
312	74	75	76	75	259	40.0	78.71	75.0	75.0	75.0	5.0
313	74	75	76	75	259	40.0	78.71	75.0	75.0	75.0	5.0
314	74	-	-	-	-	74.0	0.0	74.0	74.0	74.0	1.0
315	74	75	77	76	259	40.0	78.94	75.0	76.0	76.0	5.0
316	75	76	77	76	258	40.0	79.61	76.0	76.0	76.0	5.0
317	75	76	-	76	-	76.0	0.58	76.0	76.0	76.0	3.0
318	75	76	77	-	-	76.0	1.0	76.0	76.0	76.0	3.0
319	75	76	77	-	-	76.0	1.0	76.0	76.0	76.0	3.0
320	75	-	-	76	-	76.0	0.71	75.0	76.0	76.0	2.0
321	75	-	-	76	-	76.0	0.71	75.0	76.0	76.0	2.0
322	75	-	78	76	-	76.0	1.53	76.0	76.0	76.0	3.0
323	75	76	78	76	258	41.0	79.72	76.0	76.0	76.0	5.0
324	76	77	78	77	258	41.0	80.05	77.0	77.0	77.0	5.0
325	76	77	78	77	257	113.0	80.5	77.0	77.0	77.0	5.0
326	76	77	79	77	257	113.0	80.39	77.0	77.0	77.0	5.0
327	76	77	79	78	257	113.0	80.28	78.0	78.0	78.0	5.0
328	77	78	79	78	257	114.0	80.05	78.0	78.0	78.0	5.0
329	77	78	80	78	257	114.0	79.95	78.0	78.0	78.0	5.0
330	77	78	80	78	256	114.0	79.5	78.0	78.0	78.0	5.0
331	78	79	80	79	256	114.0	79.16	79.0	79.0	79.0	5.0
332	78	-	81	-	256	138.0	101.91	81.0	80.0	80.0	3.0
333	78	-	81	-	255	138.0	101.34	81.0	80.0	80.0	3.0
334	78	249	81	80	255	149.0	94.42	81.0	80.0	80.0	5.0
335	79	249	81	80	255	149.0	94.23	81.0	80.0	80.0	5.0
336	79	248	81	80	254	148.0	93.69	81.0	80.0	80.0	5.0
337	79	248	82	81	254	149.0	93.33	82.0	81.0	81.0	5.0
338	80	247	83	81	253	149.0	92.41	83.0	81.0	81.0	5.0
339	80	247	83	82	253	149.0	92.23	83.0	82.0	82.0	5.0
340	81	247	83	82	253	149.0	92.04	83.0	82.0	82.0	5.0
341	81	247	83	82	253	149.0	92.04	83.0	82.0	82.0	5.0
342	81	247	83	82	253	149.0	92.04	83.0	82.0	82.0	5.0
343	81	246	84	83	252	149.0	91.14	84.0	83.0	83.0	5.0
344	81	246	84	83	252	149.0	91.14	84.0	83.0	83.0	5.0
345	82	246	84	83	252	149.0	90.95	84.0	83.0	83.0	5.0
346	82	246	85	83	252	150.0	90.77	85.0	83.0	83.0	5.0
347	82	245	-	-	251	193.0	95.89	245.0	248.0	248.0	3.0
348	82	245	85	84	251	149.0	90.04	85.0	84.0	84.0	5.0
349	83	245	85	84	251	150.0	89.85	85.0	84.0	84.0	5.0
350	83	245	85	84	251	150.0	89.85	85.0	84.0	84.0	5.0
351	83	244	86	84	250	149.0	89.13	86.0	84.0	84.0	5.0
352	83	244	86	84	250	149.0	89.13	86.0	84.0	84.0	5.0
353	84	244	86	85	250	150.0	88.76	86.0	85.0	85.0	5.0
354	84	244	86	85	250	150.0	88.76	86.0	85.0	85.0	5.0
355	84	243	86	85	249	149.0	88.21	86.0	85.0	85.0	5.0
356	84	243	87	86	249	150.0	87.85	87.0	86.0	86.0	5.0
357	85	243	87	86	249	150.0	87.66	87.0	86.0	86.0	5.0
358	85	243	87	86	249	150.0	87.66	87.0	86.0	86.0	5.0
359	85	243	87	86	249	150.0	87.66	87.0	86.0	86.0	5.0
360	85	243	87	86	249	150.0	87.66	87.0	86.0	86.0	5.0
361	85	243	87	86	249	150.0	87.66	87.0	86.0	86.0	5.0
362	85	242	88	86	248	150.0	86.94	88.0	86.0	86.0	5.0
363	85	242	88	87	248	150.0	86.76	88.0	87.0	87.0	5.0
364	85	242	88	87	248	150.0	86.76	88.0	87.0	87.0	5.0
365	86	242	88	87	248	150.0	86.57	88.0	87.0	87.0	5.0
366	86	242	88	87	248	150.0	86.57	88.0	87.0	87.0	5.0
367	86	242	89	-	248	166.0	90.97	89.0	88.0	88.0	4.0
368	86	241	89	87	247	150.0	85.84	89.0	87.0	87.0	5.0
369	86	241	89	88	247	150.0	85.66	89.0	88.0	88.0	5.0
370	87	241	89	88	247	150.0	85.47	89.0	88.0	88.0	5.0
371	87	241	89	88	247	150.0	85.47	89.0	88.0	88.0	5.0
372	87	241	90	88	247	151.0	85.3	90.0	88.0	88.0	5.0
373	87	240	90	88	246	150.0	84.75	90.0	88.0	88.0	5.0
374	87	240	90	89	246	150.0	84.57	90.0	89.0	89.0	5.0
375	87	240	90	89	246	150.0	84.57	90.0	89.0	89.0	5.0
376	88	240	90	89	246	151.0	84.38	90.0	89.0	89.0	5.0
377	88	240	91	89	245	151.0	83.92	91.0	89.0	89.0	5.0
378	88	239	91	89	245	150.0	83.65	91.0	89.0	89.0	5.0
379	88	239	91	90	245	151.0	83.47	91.0	90.0	90.0	5.0
380	89	239	92	90	245	151.0	83.11	92.0	90.0	90.0	5.0
381	89	238	92	90	244	151.0	82.56	92.0	90.0	90.0	5.0
382	89	238	92	91	244	151.0	82.38	92.0	91.0	91.0	5.0
383	90	238	92	91	244	151.0	82.19	92.0	91.0	91.0	5.0
384	90	238	93	91	244	151.0	82.01	93.0	91.0	91.0	5.0
